continent,n,p1,p10,p50,p90,p95,p99,avg,min,max
Europe,60667.0,0.913,1.018,1.227,1.491,1.584,2.132,1.253,0.796,4.998
North America,18055.0,0.914,1.018,1.223,1.488,1.578,2.192,1.25,0.803,4.935
Asia,9813.0,0.909,1.017,1.222,1.488,1.587,2.168,1.249,0.825,7.536
South America,870.0,0.909,1.02,1.235,1.463,1.591,2.213,1.255,0.862,3.782
Unknown,855.0,0.899,1.002,1.227,1.485,1.576,2.212,1.251,0.797,3.927
