continent,n,p1,p10,p50,p90,p95,p99,avg,min,max
Europe,216.0,-53.136,-31.568,-2.927,25.053,45.985,145.246,-0.504,-60.062,161.6
North America,89.0,-59.762,-39.574,-5.788,76.348,106.702,663.462,21.759,-64.364,679.586
Asia,49.0,-60.83,-49.104,-18.405,26.296,140.373,544.388,7.88,-65.776,789.252
