continent,n,p1,p10,p50,p90,p95,p99,avg,min,max
Europe,60667.0,1.0,3.0,14.0,57.0,115.0,275.0,30.996,0.0,1221.0
North America,18055.0,8.0,17.0,27.0,91.0,181.0,300.0,47.844,0.0,1047.0
Asia,9813.0,5.0,27.0,36.0,69.0,101.0,268.88,46.33,0.0,526.0
South America,870.0,5.0,29.0,36.0,58.0,60.0,172.48,41.038,1.0,499.0
Unknown,855.0,3.0,6.0,13.0,32.0,73.9,194.46,21.492,1.0,273.0
