continent,n,p1,p10,p50,p90,p95,p99,avg,min,max
Europe,60667.0,11.737,22.192,77.257,384.389,765.923,1873.988,201.681,5.076,7274.018
North America,18055.0,93.62,106.483,156.204,595.921,1162.325,2063.293,306.182,80.651,6743.965
Asia,9813.0,160.21,168.413,204.365,449.487,668.243,1821.2,297.791,142.069,3609.398
South America,870.0,182.338,187.137,212.727,411.879,444.752,1269.38,284.955,179.543,3314.514
Unknown,855.0,22.294,33.156,72.975,203.561,477.01,1206.9,129.854,18.846,1714.304
