continent,n,p1,p10,p50,p90,p95,p99,avg,min,max
Europe,60667.0,103003.32,243507.2,933524.0,3682248.8,7331380.8,17276573.48,2007531.029,360.0,76319013.0
North America,18055.0,725140.3,1091008.0,1749677.0,5745136.2,11370206.1,18763277.76,3039142.963,11511.0,65453541.0
Asia,9813.0,739727.12,1838510.6,2300010.0,4342704.4,6431529.2,17216632.76,3012786.378,0.0,32934018.0
South America,870.0,542811.31,1938502.0,2265254.0,3642503.1,3780840.55,10798266.49,2642213.849,284023.0,31548516.0
Unknown,855.0,250771.54,378706.6,819015.0,2115310.6,4870103.2,12181178.5,1387426.912,126503.0,17112742.0
