continent,n,p1,p10,p50,p90,p95,p99,avg,min,max
Europe,60667.0,101112.474,241650.192,931860.68,3679686.004,7329843.79,17274803.068,2005709.168,-2062.22,76317350.79
North America,18055.0,723177.057,1089332.65,1747756.09,5742385.76,11367600.19,18762374.796,3037405.936,10849.39,65452011.19
Asia,9813.0,737312.854,1836877.95,2298481.69,4340939.53,6428295.914,17215335.598,3011146.802,-2961.42,32931227.58
South America,870.0,541211.172,1936872.44,2263261.39,3640947.34,3778780.57,10797134.585,2640544.411,282259.29,31547045.19
Unknown,855.0,249297.47,377201.77,817888.29,2113847.29,4868397.11,12179219.76,1385734.0,125406.1,17111220.29
