continent,n,p1,p10,p50,p90,p95,p99,avg,min,max
Europe,60667.0,0.975,2.978,13.975,56.977,114.993,274.969,30.966,-0.061,1220.973
North America,18055.0,7.97,16.974,26.977,90.965,180.949,299.974,47.816,-0.04,1046.976
Asia,9813.0,4.982,26.976,35.974,68.972,100.974,268.853,46.304,-0.047,525.955
South America,870.0,4.98,28.974,35.973,57.973,59.974,172.462,41.011,0.987,498.976
Unknown,855.0,2.988,5.959,12.968,31.978,73.874,194.429,21.465,0.976,272.976
