sender_name,sv_continent,landed,n_conditional,land_rate,wilson_lo,wilson_hi,gate
0slot-de1,Asia,849,2708,0.3135155096011817,0.2963170092895326,0.33124233909537576,inferential
0slot-de1,North America,2153,5499,0.3915257319512639,0.37870520940148955,0.4044977033250441,inferential
0slot-de1,Europe,3052,13953,0.21873432236794954,0.21195306562943875,0.2256704093410067,inferential
0slot-de1,South America,48,220,0.21818181818181817,0.16869719124939694,0.27733929969695215,inferential
0slot-de1,Africa,0,4,0.0,0.0,0.4898908364545974,suppressed
0slot-de1,Oceania,1,4,0.25,0.0455872608097006,0.6993581574175982,suppressed
allenhark-quic-ams,Asia,8,2493,0.003208985158443642,0.0016269393354564348,0.006319684087748667,inferential
allenhark-quic-ams,North America,10,5053,0.0019790223629527013,0.0010753445386989483,0.0036393492113112004,inferential
allenhark-quic-ams,Europe,22,12752,0.001725219573400251,0.0011396300733862,0.0026109228772081845,inferential
allenhark-quic-ams,South America,0,200,0.0,0.0,0.01884532637726658,inferential
allenhark-quic-ams,Africa,0,4,0.0,0.0,0.4898908364545974,suppressed
allenhark-quic-ams,Oceania,0,4,0.0,0.0,0.4898908364545974,suppressed
allenhark-quic-fra,Asia,15,2708,0.005539143279172821,0.0033597088666734477,0.009119434672717256,inferential
allenhark-quic-fra,North America,63,5499,0.011456628477905073,0.008965289498631117,0.014630058430676711,inferential
allenhark-quic-fra,Europe,247,13953,0.017702286246685302,0.015643294273561533,0.020026771929423055,inferential
allenhark-quic-fra,South America,5,220,0.022727272727272728,0.00974589223845259,0.05209010049326778,inferential
allenhark-quic-fra,Africa,1,4,0.25,0.0455872608097006,0.6993581574175982,suppressed
allenhark-quic-fra,Oceania,0,4,0.0,0.0,0.4898908364545974,suppressed
allenhark-quic-ny,Asia,0,2708,0.0,0.0,0.0014165499270612498,inferential
allenhark-quic-ny,North America,0,5499,0.0,-5.421010862427522e-20,0.0006980864067120307,inferential
allenhark-quic-ny,Europe,0,13953,0.0,0.0,0.0002752384077750151,inferential
allenhark-quic-ny,South America,0,220,0.0,0.0,0.017161516195135628,inferential
allenhark-quic-ny,Africa,0,4,0.0,0.0,0.4898908364545974,suppressed
allenhark-quic-ny,Oceania,0,4,0.0,0.0,0.4898908364545974,suppressed
allenhark-quic-tk,Asia,0,2708,0.0,0.0,0.0014165499270612498,inferential
allenhark-quic-tk,North America,0,5499,0.0,-5.421010862427522e-20,0.0006980864067120307,inferential
allenhark-quic-tk,Europe,0,13953,0.0,0.0,0.0002752384077750151,inferential
allenhark-quic-tk,South America,0,220,0.0,0.0,0.017161516195135628,inferential
allenhark-quic-tk,Africa,0,4,0.0,0.0,0.4898908364545974,suppressed
allenhark-quic-tk,Oceania,0,4,0.0,0.0,0.4898908364545974,suppressed
astralane-fra,Asia,106,2707,0.039157739194680456,0.032479825225231074,0.04714174693214336,inferential
astralane-fra,North America,485,5499,0.08819785415530096,0.08098719142504171,0.0959834638460983,inferential
astralane-fra,Europe,1925,13951,0.13798294029101857,0.13235961701317192,0.1438055741280521,inferential
astralane-fra,South America,34,220,0.15454545454545454,0.11275091307542451,0.20819704356848734,inferential
astralane-fra,Africa,0,4,0.0,0.0,0.4898908364545974,suppressed
astralane-fra,Oceania,0,4,0.0,0.0,0.4898908364545974,suppressed
astralane-quic-fra,Asia,111,2708,0.04098966026587888,0.034149433749052514,0.049130308909246696,inferential
astralane-quic-fra,North America,410,5499,0.0745590107292235,0.06790934112570277,0.08180266947568032,inferential
astralane-quic-fra,Europe,1556,13953,0.11151723643660862,0.10640090909984234,0.11684741452795736,inferential
astralane-quic-fra,South America,26,220,0.11818181818181818,0.08193928553542554,0.16752950864995075,inferential
astralane-quic-fra,Africa,0,4,0.0,0.0,0.4898908364545974,suppressed
astralane-quic-fra,Oceania,0,4,0.0,0.0,0.4898908364545974,suppressed
blockrazor,Asia,177,1632,0.10845588235294118,0.09427863358123319,0.12447206312666668,inferential
blockrazor,North America,35,3361,0.010413567390657543,0.007497273060611994,0.014447730804911584,inferential
blockrazor,Europe,94,8396,0.011195807527393997,0.009158206079891713,0.01368049388381307,inferential
blockrazor,South America,3,138,0.021739130434782608,0.007420393841889746,0.06196311999474527,inferential
blockrazor,Africa,1,2,0.5,0.09453120573423068,0.9054687942657693,suppressed
blockrazor,Oceania,0,4,0.0,0.0,0.4898908364545974,suppressed
bloxroute-fra,Asia,58,2706,0.021433850702143386,0.016617401240932136,0.02760712651902338,inferential
bloxroute-fra,North America,36,5483,0.006565748677731169,0.004746498242712479,0.00907592753537716,inferential
bloxroute-fra,Europe,104,13946,0.007457335436684354,0.00615886494358394,0.009027075301403118,inferential
bloxroute-fra,South America,12,220,0.05454545454545454,0.031474259336602195,0.09290600054633681,inferential
bloxroute-fra,Africa,2,4,0.5,0.15003898915214947,0.8499610108478506,suppressed
bloxroute-fra,Oceania,0,4,0.0,0.0,0.4898908364545974,suppressed
bloxroute-quic-fra,Asia,65,2708,0.024002954209748892,0.018877236906081812,0.030477218674407072,inferential
bloxroute-quic-fra,North America,31,5499,0.00563738861611202,0.0039744380500014624,0.007990554820210088,inferential
bloxroute-quic-fra,Europe,83,13953,0.0059485415322869635,0.004801550813200952,0.00736749612494813,inferential
bloxroute-quic-fra,South America,8,220,0.03636363636363636,0.018539118594757906,0.07010156005891331,inferential
bloxroute-quic-fra,Africa,0,4,0.0,0.0,0.4898908364545974,suppressed
bloxroute-quic-fra,Oceania,0,4,0.0,0.0,0.4898908364545974,suppressed
