sender_a,sender_b,n_a,n_b,p50_a_ms,p50_b_ms,hl_shift_a_minus_b_ms,p50_diff_a_minus_b_ms,p50_diff_ci_lo,p50_diff_ci_hi,p90_diff_a_minus_b_ms,p90_diff_ci_lo,p90_diff_ci_hi,mw_u,mw_p,mw_p_fdr,significant_fdr
0slot-de1,allenhark-quic-ams,6102,40,139.20202899999998,60.963183,41.77737600000001,78.23884599999998,36.23157283749999,87.9003865,8.75361239999998,-168.29284040500002,104.29338519999996,165650.0,9.565608884077353e-05,0.00013601100132047485,True
0slot-de1,allenhark-quic-fra,6102,331,139.20202899999998,40.380459,72.155969,98.82156999999998,94.44509199999999,102.39081327500003,77.49830789999999,60.981009640000096,92.92299455249999,1632561.0,7.53019028534853e-80,5.271133199743971e-79,True
0slot-de1,astralane-fra,6102,2550,139.20202899999998,57.952623,57.594318,81.24940599999998,78.36453175000001,84.073536025,72.89526980000002,65.92120366500002,80.47543248250008,11765877.0,7.29180780255954e-310,3.31777255016459e-308,True
0slot-de1,astralane-quic-fra,6102,1764,139.20202899999998,61.009658,52.751864499999996,78.19237099999998,74.9898082875,81.26946600000001,68.71400319999998,60.11371605250004,77.61352429000003,7889461.0,8.8392442992581e-196,1.6087424624649744e-194,True
0slot-de1,blockrazor,6102,310,139.20202899999998,166.167412,1.0848510000000005,-26.96538300000003,-30.451760849999985,-22.538752674999998,52.26622499999999,40.22900513499981,59.83239758499992,952597.0,0.8309787640972132,0.8703999898118604,False
0slot-de1,bloxroute-fra,6102,212,139.20202899999998,113.66261549999999,27.782317999999997,25.539413499999995,-23.16809650000002,49.26101004999998,46.24763519999999,23.42164296250001,59.084068800000026,769836.0,2.4162963307224065e-06,3.6647161015956498e-06,True
0slot-de1,bloxroute-quic-fra,6102,159,139.20202899999998,165.528125,13.976408499999998,-26.326096000000007,-35.86545762499999,40.0285753,46.64619069999998,30.56386500000002,53.505539722500004,529977.0,0.04614897123080107,0.057528169616478046,False
0slot-de1,helius-dual,6102,1845,139.20202899999998,29.571341,87.6790625,109.63068799999998,106.79007525,112.205295,89.95383349999997,83.13122805250002,96.61674527250001,9685617.0,0.0,0.0,True
0slot-de1,helius-fra,6102,294,139.20202899999998,165.8274395,4.099697500000005,-26.625410500000015,-31.194637500000013,-22.130862399999994,40.630784300000045,18.14232507750003,53.17716056750006,919370.0,0.4693452376671168,0.5208587393622881,False
0slot-de1,nextblock-quic-fra,6102,898,139.20202899999998,30.8829895,85.43177350000002,108.31903949999997,105.08064037499999,111.309885625,98.8172236,93.00702571,103.78953184499998,4674832.0,1.080286332251566e-256,3.2768685411630834e-255,True
0slot-de1,nozomi-fra,6102,1067,139.20202899999998,73.383111,38.835357499999986,65.81891799999998,55.5198425625,72.854605225,34.45184710000001,25.159626260000124,50.862513445000154,4328853.0,2.2223975010293682e-66,1.189636309374544e-65,True
0slot-de1,syncro-fra,6102,272,139.20202899999998,40.4776115,80.6950765,98.72441749999999,94.29624757499998,103.997513175,83.10631679999995,52.150521284999996,138.02599538999988,1414232.0,3.243258309022615e-86,2.683059146555072e-85,True
0slot-de1,triton-fra,6102,3329,139.20202899999998,80.249031,39.07875,58.95299799999998,53.299141400000025,64.79050421250001,51.68484169999999,46.099988277500145,56.311940585000016,13613426.0,9.19252381799494e-165,1.3941994457292327e-163,True
allenhark-quic-ams,allenhark-quic-fra,40,331,60.963183,40.380459,21.567619,20.582724,10.716203,63.258982637499976,68.7446955,-22.570839199999966,250.015947,8928.0,0.00031604892125226066,0.00042926047513366743,True
