sender_name,datacenter,landed,n_conditional,land_rate,wilson_lo,wilson_hi,gate
0slot-de1,"The Constant Company, LLC (Singapore)",38,94,0.40425531914893614,0.31070190101141837,0.5053270072146221,inferential
0slot-de1,"Payward, Inc. (United States)",109,543,0.2007366482504604,0.1692012799399667,0.23647655454447858,inferential
0slot-de1,UAB Cherry Servers (Lithuania),307,1056,0.29071969696969696,0.2641292788455756,0.31882721306990225,inferential
0slot-de1,Latitude.sh (Germany),386,665,0.5804511278195489,0.5425871531663123,0.6173909680893036,inferential
0slot-de1,"Servers.com, Inc. (United States)",3,77,0.03896103896103896,0.013337950040590962,0.1083998187263288,inferential
0slot-de1,Galaxy Digital LP (United States),354,610,0.580327868852459,0.5407817601465793,0.618868583752115,inferential
0slot-de1,HOSTKEY B.V. (Switzerland),43,108,0.39814814814814814,0.3108568119463669,0.4924361687427466,inferential
0slot-de1,"The Constant Company, LLC (Canada)",18,44,0.4090909090909091,0.2768785562754973,0.555902462589681,inferential
0slot-de1,RETN Limited (Germany),29,351,0.08262108262108261,0.05814025401993726,0.11613887059594759,inferential
0slot-de1,TeraSwitch Networks Inc. (Germany),223,2399,0.09295539808253439,0.08197779136822167,0.10523450146506189,inferential
0slot-de1,TeraSwitch Networks Inc. (Netherlands),460,2279,0.20184291355857834,0.18587201775800047,0.2188172589550423,inferential
0slot-de1,Globecomm Network Services Corporation (United Kingdom),14,876,0.01598173515981735,0.009543491725536332,0.026646504212337746,inferential
0slot-de1,OVH SAS (Canada),504,836,0.6028708133971292,0.5693045949926996,0.635495963724088,inferential
0slot-de1,"HIVELOCITY, Inc. (Singapore)",83,152,0.5460526315789473,0.4667416349966832,0.6230932530102874,inferential
0slot-de1,TeraSwitch Networks Inc. (Singapore),112,360,0.3111111111111111,0.26549458832964523,0.36071623316163903,inferential
0slot-de1,UAB Cherry Servers (United States),140,286,0.48951048951048953,0.43209975379465915,0.5471992739413564,inferential
0slot-de1,UAB Cherry Servers (Netherlands),144,420,0.34285714285714286,0.2990699431764945,0.3894928501677911,inferential
0slot-de1,Latitude.sh LTDA (Netherlands),15,286,0.05244755244755245,0.0320382354893755,0.08472028124728506,inferential
0slot-de1,TeraSwitch Networks Inc. (United States),37,350,0.10571428571428572,0.0776733519941101,0.14231629839940005,inferential
0slot-de1,velia.net Internetdienste GmbH (France),3,19,0.15789473684210525,0.05520471638534141,0.37565475270329085,indicative
0slot-de1,Latitude.sh (United Kingdom),51,315,0.1619047619047619,0.12534040845260636,0.20661597893870798,inferential
0slot-de1,OVH SAS (France),17,76,0.2236842105263158,0.14461182822226148,0.32934567931373543,inferential
0slot-de1,TeraSwitch Networks Inc. (Japan),155,859,0.18044237485448195,0.15616655577292707,0.20756360069132443,inferential
0slot-de1,"Amazon.com, Inc. (United States)",411,1125,0.36533333333333334,0.33769803742976845,0.3938851732749965,inferential
0slot-de1,velia.net Internetdienste GmbH (Germany),75,187,0.40106951871657753,0.33349637791378145,0.47262541433910893,inferential
0slot-de1,"Alibaba (US) Technology Co., Ltd. (Singapore)",88,164,0.5365853658536586,0.46030318781238083,0.6111928542520513,inferential
0slot-de1,Amarutu Technology Ltd (Hong Kong S.A.R.),28,91,0.3076923076923077,0.22226810686646437,0.4086949715677203,inferential
0slot-de1,Delta HighTech Ltd. (Bulgaria),3,16,0.1875,0.06591599071428139,0.43008880961974144,indicative
0slot-de1,"HIVELOCITY, Inc. (United States)",21,60,0.35,0.24167774406017556,0.47637381158245135,inferential
0slot-de1,Allnodes Inc (Germany),346,936,0.3696581196581197,0.3393253449413838,0.4010563995432985,inferential
0slot-de1,Allnodes Inc (Japan),25,120,0.20833333333333334,0.1452843960810969,0.28947678432981355,inferential
0slot-de1,"The Constant Company, LLC (United States)",116,267,0.4344569288389513,0.3763459803362815,0.49442712747225703,inferential
0slot-de1,OVH SAS (United Kingdom),2,44,0.045454545454545456,0.012555109949594953,0.1513499843762966,inferential
0slot-de1,"Servers.com, Inc. (Netherlands)",121,768,0.15755208333333334,0.1334979570681264,0.18501493960409732,inferential
0slot-de1,Butterfly Research (Germany),5,94,0.05319148936170213,0.022931748685589996,0.11853648970259892,inferential
0slot-de1,TeraSwitch Networks Inc. (United Kingdom),15,377,0.03978779840848806,0.024257820320521314,0.06460188241637843,inferential
0slot-de1,"Amazon.com, Inc. (Germany)",43,412,0.10436893203883495,0.07841169923742393,0.13763568352109196,inferential
0slot-de1,"The Constant Company, LLC (Japan)",34,108,0.3148148148148148,0.2348655044465525,0.4074853695336538,inferential
0slot-de1,Latitude.sh (Brazil),44,148,0.2972972972972973,0.22954489180413667,0.3753061122233435,inferential
0slot-de1,Datacamp Limited (Netherlands),175,311,0.5627009646302251,0.5071369452783228,0.6167349239033373,inferential
0slot-de1,TeraSwitch Networks Inc. (Ireland),61,369,0.16531165311653118,0.13089757150174247,0.20662245435249993,inferential
0slot-de1,"HIVELOCITY, Inc. (Netherlands)",48,112,0.42857142857142855,0.3407915698478558,0.5210886225902789,inferential
0slot-de1,"The Constant Company, LLC (France)",78,136,0.5735294117647058,0.4895151270999103,0.6535039758804451,inferential
0slot-de1,"Limestone Networks, Inc. (Netherlands)",10,24,0.4166666666666667,0.24467602609811764,0.6116533413477125,inferential
0slot-de1,Latitude.sh (Japan),10,56,0.17857142857142858,0.09999856752412305,0.29841182036651065,inferential
0slot-de1,UAB Cherry Servers (Sweden),14,304,0.046052631578947366,0.02762789000265575,0.0758067121548157,inferential
0slot-de1,Latitude.sh LTDA (United States),81,192,0.421875,0.35422352245482097,0.4925913441181095,inferential
0slot-de1,Danny Nieuwenhuis trading as DedicatedNodes (United Kingdom),9,127,0.07086614173228346,0.037728059261201305,0.12920265992793417,inferential
0slot-de1,Hurricane Electric LLC (United States),90,112,0.8035714285714286,0.720458894808217,0.8665502873297101,inferential
0slot-de1,"The Constant Company, LLC (Netherlands)",7,36,0.19444444444444445,0.09753095418928728,0.3502804299517739,inferential
0slot-de1,Latitude.sh (United States),24,92,0.2608695652173913,0.182022210874746,0.35888627965316,inferential
0slot-de1,"The Constant Company, LLC (Brazil)",1,32,0.03125,0.005537860164003122,0.1574426382001256,inferential
0slot-de1,Allnodes Inc (United States),54,186,0.2903225806451613,0.22985726200936732,0.35927358177712476,inferential
0slot-de1,Latitude.sh (Singapore),97,208,0.46634615384615385,0.39977571657574096,0.5341371252355976,inferential
0slot-de1,"Servers.com, Inc. (Singapore)",14,20,0.7,0.48102718164647645,0.8545227551323957,inferential
0slot-de1,"WebNX, Inc. (United States)",18,128,0.140625,0.09083969494262252,0.2113524923789617,inferential
0slot-de1,TY15 Infra (Japan),16,63,0.25396825396825395,0.1628041127332116,0.3734118743660647,inferential
0slot-de1,Latitude.sh LTDA (Brazil),1,16,0.0625,0.011119344764642547,0.28328737570298945,indicative
0slot-de1,OVH SAS (Singapore),1,12,0.08333333333333333,0.014865094404917095,0.35387991114111705,indicative
0slot-de1,23M GmbH (Germany),13,40,0.325,0.20084502231782703,0.4798225381012234,inferential
0slot-de1,Netorn LLC (Russia),8,12,0.6666666666666666,0.3906220888727995,0.8618799089087869,indicative
0slot-de1,"Servers.com, Inc. (Hong Kong S.A.R.)",19,48,0.3958333333333333,0.27020827860591357,0.5368959150745275,inferential
0slot-de1,"Amazon.com, Inc. (Japan)",26,116,0.22413793103448276,0.15779761353649713,0.3081634934977863,inferential
0slot-de1,"Limestone Networks, Inc. (Singapore)",12,20,0.6,0.3865815007622531,0.781193467627183,inferential
0slot-de1,Datacamp Limited (United States),58,120,0.48333333333333334,0.3958364430105443,0.5718641958700792,inferential
0slot-de1,Butterfly Research (United States),1,36,0.027777777777777776,0.00492040713981047,0.1416971865327386,inferential
0slot-de1,RockawayX Infra s.r.o. (Czechia),17,56,0.30357142857142855,0.19900325085369447,0.43335865285724834,inferential
0slot-de1,Inter.link GmbH (Germany),1,12,0.08333333333333333,0.014865094404917095,0.35387991114111705,indicative
0slot-de1,VNET a.s. (Slovakia),11,36,0.3055555555555556,0.18004451594829915,0.4685627285051034,inferential
0slot-de1,RockawayX Infra s.r.o. (United Arab Emirates),26,42,0.6190476190476191,0.4681404026715268,0.7500027423604485,inferential
0slot-de1,AlbHost SH.P.K. (Albania),7,16,0.4375,0.23098652405492354,0.6682144360118811,indicative
0slot-de1,Fusix Networks B.V. (Netherlands),10,16,0.625,0.38641040545502714,0.8151876744113636,indicative
0slot-de1,Vorboss Limited (United Kingdom),7,16,0.4375,0.23098652405492354,0.6682144360118811,indicative
0slot-de1,OVH SAS (Germany),98,172,0.5697674418604651,0.4950481800540243,0.6414384037184229,inferential
0slot-de1,Globenet Cabos Submarinos America Inc (Hong Kong S.A.R.),16,36,0.4444444444444444,0.2954126874008022,0.6041893824430271,inferential
0slot-de1,Evolus IT Solutions GmbH (United States),12,32,0.375,0.22933887309454207,0.5474559264692256,inferential
0slot-de1,Amarutu Technology Ltd (United States),10,32,0.3125,0.17952541633609737,0.4856667830095542,inferential
0slot-de1,"DataBank Holdings, Ltd. (United States)",11,16,0.6875,0.4440435583474066,0.8583535614521797,indicative
0slot-de1,"Limestone Networks, Inc. (United States)",9,16,0.5625,0.331785563988119,0.7690134759450765,indicative
0slot-de1,Amarutu Technology Ltd (Japan),17,63,0.2698412698412698,0.1758384441231599,0.3902990921955179,inferential
0slot-de1,UAB Cherry Servers (Germany),12,44,0.2727272727272727,0.16346381623843376,0.418488730924512,inferential
0slot-de1,uvensys GmbH (Germany),6,12,0.5,0.253781597633706,0.746218402366294,indicative
0slot-de1,"The Constant Company, LLC (United Kingdom)",0,8,0.0,0.0,0.32440756488388034,indicative
0slot-de1,"The Constant Company, LLC (Mexico)",5,24,0.20833333333333334,0.09244825352851854,0.40470453253188665,inferential
0slot-de1,synlinq.de (Germany),23,52,0.4423076923076923,0.3159505681940129,0.5766023821279712,inferential
0slot-de1,GSL Networks Pty LTD (Germany),6,35,0.17142857142857143,0.08102640053701589,0.3268228229904497,inferential
0slot-de1,Danny Nieuwenhuis trading as DedicatedNodes (Netherlands),21,28,0.75,0.5664432968100103,0.8732350508070669,inferential
0slot-de1,ELSOUL LABO B.V. (Netherlands),6,16,0.375,0.1848123255886363,0.6135895945449727,indicative
0slot-de1,ServeTheWorld AS (Norway),1,8,0.125,0.022417491450056642,0.47088818221285356,indicative
0slot-de1,Sovereign-Sol LLC (United States),9,16,0.5625,0.331785563988119,0.7690134759450765,indicative
0slot-de1,"Lucky Friday Labs, LLC (United States)",21,24,0.875,0.6899611872949992,0.9565566591987656,inferential
0slot-de1,UAB Cherry Servers (Singapore),18,40,0.45,0.30705307810904925,0.6017090820106795,inferential
0slot-de1,Amarutu Technology Ltd (Netherlands),24,52,0.46153846153846156,0.33340474681756815,0.5949638867304213,inferential
0slot-de1,Pulsant (Scotland) Ltd (United Kingdom),3,12,0.25,0.08894166839405476,0.5323053349335658,indicative
0slot-de1,"The Constant Company, LLC (Chile)",1,12,0.08333333333333333,0.014865094404917095,0.35387991114111705,indicative
0slot-de1,ReliableSite.Net LLC (United States),6,20,0.3,0.14547724486760422,0.5189728183535234,inferential
0slot-de1,A2B IP B.V. (Netherlands),6,12,0.5,0.253781597633706,0.746218402366294,indicative
0slot-de1,"The Constant Company, LLC (Poland)",9,36,0.25,0.1375047766299483,0.41070453766728354,inferential
0slot-de1,ARTERIA Networks Corporation (Japan),1,4,0.25,0.0455872608097006,0.6993581574175982,suppressed
0slot-de1,"FiberState, LLC (United States)",8,28,0.2857142857142857,0.1525399605666909,0.47059288433295726,inferential
0slot-de1,Comvive Servidores S.L. (Spain),5,8,0.625,0.3057423946026273,0.8631557141764027,indicative
0slot-de1,Euroweb Romania S.R.L. (Romania),4,8,0.5,0.2152160622138775,0.7847839377861225,indicative
