sender_name,sv_country,landed,n_conditional,land_rate,wilson_lo,wilson_hi,gate
0slot-de1,Singapore,469,1078,0.43506493506493504,0.4057524268332456,0.4648385928965652,inferential
0slot-de1,United States,1620,4420,0.3665158371040724,0.35243211825904597,0.3808313788657891,inferential
0slot-de1,Lithuania,307,1056,0.29071969696969696,0.2641292788455756,0.31882721306990225,inferential
0slot-de1,Germany,1284,5455,0.23538038496791935,0.22431109207376443,0.24682211049708008,inferential
0slot-de1,Switzerland,43,108,0.39814814814814814,0.3108568119463669,0.4924361687427466,inferential
0slot-de1,Canada,523,896,0.5837053571428571,0.5511381383510092,0.6155578929660914,inferential
0slot-de1,Netherlands,1055,4392,0.24020947176684881,0.22780545485821882,0.2530675426378715,inferential
0slot-de1,United Kingdom,115,1802,0.06381798002219756,0.05343419389079312,0.07605749414111444,inferential
0slot-de1,France,98,231,0.42424242424242425,0.3622592343502532,0.4887040488120986,inferential
0slot-de1,Japan,286,1393,0.20531227566403445,0.18492455255837748,0.22732084235340977,inferential
0slot-de1,Hong Kong S.A.R.,68,187,0.36363636363636365,0.29807678302060836,0.4346856873820244,inferential
0slot-de1,Bulgaria,3,16,0.1875,0.06591599071428139,0.43008880961974144,indicative
0slot-de1,Brazil,46,196,0.23469387755102042,0.18081391741372355,0.29877354850188004,inferential
0slot-de1,Ireland,64,385,0.16623376623376623,0.13238093531626538,0.20668131185396238,inferential
0slot-de1,Sweden,14,304,0.046052631578947366,0.02762789000265575,0.0758067121548157,inferential
0slot-de1,Russia,8,16,0.5,0.2799956361032601,0.7200043638967399,indicative
0slot-de1,Czechia,17,56,0.30357142857142855,0.19900325085369447,0.43335865285724834,inferential
0slot-de1,Slovakia,11,36,0.3055555555555556,0.18004451594829915,0.4685627285051034,inferential
0slot-de1,United Arab Emirates,26,42,0.6190476190476191,0.4681404026715268,0.7500027423604485,inferential
0slot-de1,Albania,7,16,0.4375,0.23098652405492354,0.6682144360118811,indicative
0slot-de1,Mexico,7,28,0.25,0.12676494919293316,0.43355670318998973,inferential
0slot-de1,Norway,1,8,0.125,0.022417491450056642,0.47088818221285356,indicative
0slot-de1,Chile,1,12,0.08333333333333333,0.014865094404917095,0.35387991114111705,indicative
0slot-de1,Poland,9,40,0.225,0.1231609132354074,0.37503096742310027,inferential
0slot-de1,Spain,5,8,0.625,0.3057423946026273,0.8631557141764027,indicative
0slot-de1,Romania,9,16,0.5625,0.331785563988119,0.7690134759450765,indicative
0slot-de1,South Africa,0,4,0.0,0.0,0.4898908364545974,suppressed
0slot-de1,Latvia,2,4,0.5,0.15003898915214947,0.8499610108478506,suppressed
0slot-de1,Argentina,1,12,0.08333333333333333,0.014865094404917095,0.35387991114111705,indicative
0slot-de1,Australia,1,4,0.25,0.0455872608097006,0.6993581574175982,suppressed
0slot-de1,South Korea,0,8,0.0,0.0,0.32440756488388034,indicative
0slot-de1,Finland,0,4,0.0,0.0,0.4898908364545974,suppressed
allenhark-quic-ams,Singapore,4,1014,0.0039447731755424065,0.0015350822457797213,0.010098810948563186,inferential
allenhark-quic-ams,United States,10,4062,0.002461841457410143,0.0013377987166964926,0.004526044982612283,inferential
allenhark-quic-ams,Lithuania,2,936,0.002136752136752137,0.0005861702129703991,0.007757214458028823,inferential
allenhark-quic-ams,Germany,9,4996,0.001801441152922338,0.0009480521726947502,0.003420378106661716,inferential
allenhark-quic-ams,Switzerland,1,100,0.01,0.001767432064140647,0.05448619617870533,inferential
allenhark-quic-ams,Canada,0,820,0.0,0.0,0.004662861743075017,inferential
allenhark-quic-ams,Netherlands,7,4062,0.0017232890201870998,0.0008350191230669737,0.0035531152893036157,inferential
allenhark-quic-ams,United Kingdom,0,1634,0.0,0.0,0.0023454399691775533,inferential
allenhark-quic-ams,France,2,227,0.00881057268722467,0.0024195114654739242,0.031549511520059074,inferential
allenhark-quic-ams,Japan,3,1250,0.0024,0.0008165449300510433,0.007032500698054563,inferential
allenhark-quic-ams,Hong Kong S.A.R.,0,183,0.0,0.0,0.02055999158292087,inferential
allenhark-quic-ams,Bulgaria,0,12,0.0,0.0,0.24249400665524096,indicative
allenhark-quic-ams,Brazil,0,180,0.0,0.0,0.02089549792161306,inferential
allenhark-quic-ams,Ireland,0,333,0.0,0.0,0.011404352760326317,inferential
allenhark-quic-ams,Sweden,1,272,0.003676470588235294,0.00064928240310946,0.020527587983481935,inferential
allenhark-quic-ams,Russia,0,12,0.0,0.0,0.24249400665524096,indicative
allenhark-quic-ams,Czechia,0,52,0.0,0.0,0.06879223612386236,inferential
allenhark-quic-ams,Slovakia,0,36,0.0,6.938893903907228e-18,0.0964186285944637,inferential
allenhark-quic-ams,United Arab Emirates,1,42,0.023809523809523808,0.004215404134432506,0.12321201573766649,inferential
allenhark-quic-ams,Albania,0,12,0.0,0.0,0.24249400665524096,indicative
allenhark-quic-ams,Mexico,0,28,0.0,1.3877787807814457e-17,0.12064330476584569,inferential
allenhark-quic-ams,Norway,0,8,0.0,0.0,0.32440756488388034,indicative
allenhark-quic-ams,Chile,0,12,0.0,0.0,0.24249400665524096,indicative
allenhark-quic-ams,Poland,0,32,0.0,0.0,0.10717919825507066,inferential
allenhark-quic-ams,Spain,0,4,0.0,0.0,0.4898908364545974,suppressed
allenhark-quic-ams,Romania,0,16,0.0,0.0,0.19360768053443655,indicative
allenhark-quic-ams,South Africa,0,4,0.0,0.0,0.4898908364545974,suppressed
allenhark-quic-ams,Latvia,0,4,0.0,0.0,0.4898908364545974,suppressed
allenhark-quic-ams,Argentina,0,8,0.0,0.0,0.32440756488388034,indicative
allenhark-quic-ams,Australia,0,4,0.0,0.0,0.4898908364545974,suppressed
allenhark-quic-ams,South Korea,0,4,0.0,0.0,0.4898908364545974,suppressed
allenhark-quic-ams,Finland,0,4,0.0,0.0,0.4898908364545974,suppressed
allenhark-quic-fra,Singapore,8,1078,0.0074211502782931356,0.0037651244850216157,0.014575325179685385,inferential
allenhark-quic-fra,United States,53,4420,0.011990950226244345,0.009179423769546011,0.015650005549554327,inferential
allenhark-quic-fra,Lithuania,4,1056,0.003787878787878788,0.0014739881784892718,0.009698870480833552,inferential
allenhark-quic-fra,Germany,68,5455,0.012465627864344637,0.009845507469264228,0.015771917010930316,inferential
allenhark-quic-fra,Switzerland,0,108,0.0,0.0,0.034347359746557046,inferential
allenhark-quic-fra,Canada,6,896,0.006696428571428571,0.003072541035870081,0.01453218106868318,inferential
allenhark-quic-fra,Netherlands,44,4392,0.010018214936247723,0.007471439894977569,0.013421365198437498,inferential
allenhark-quic-fra,United Kingdom,118,1802,0.06548279689234185,0.05496026743106386,0.0778539714098822,inferential
allenhark-quic-fra,France,9,231,0.03896103896103896,0.02063064616577661,0.07237447707939318,inferential
allenhark-quic-fra,Japan,5,1393,0.003589375448671931,0.001534111479207545,0.008375000777798345,inferential
allenhark-quic-fra,Hong Kong S.A.R.,2,187,0.0106951871657754,0.0029379229203115136,0.03815094146560581,inferential
allenhark-quic-fra,Bulgaria,0,16,0.0,0.0,0.19360768053443655,indicative
allenhark-quic-fra,Brazil,5,196,0.025510204081632654,0.010944563377567624,0.05831763527918481,inferential
allenhark-quic-fra,Ireland,0,385,0.0,0.0,0.009879241869796433,inferential
allenhark-quic-fra,Sweden,4,304,0.013157894736842105,0.005128425527647064,0.03333766953978609,inferential
allenhark-quic-fra,Russia,0,16,0.0,0.0,0.19360768053443655,indicative
allenhark-quic-fra,Czechia,0,56,0.0,6.938893903907228e-18,0.06419393671876344,inferential
allenhark-quic-fra,Slovakia,0,36,0.0,6.938893903907228e-18,0.0964186285944637,inferential
allenhark-quic-fra,United Arab Emirates,0,42,0.0,0.0,0.08379879086570395,inferential
allenhark-quic-fra,Albania,0,16,0.0,0.0,0.19360768053443655,indicative
allenhark-quic-fra,Mexico,1,28,0.03571428571428571,0.0063325198490377654,0.17712197743353322,inferential
allenhark-quic-fra,Norway,0,8,0.0,0.0,0.32440756488388034,indicative
allenhark-quic-fra,Chile,0,12,0.0,0.0,0.24249400665524096,indicative
allenhark-quic-fra,Poland,0,40,0.0,0.0,0.08762160119728668,inferential
allenhark-quic-fra,Spain,0,8,0.0,0.0,0.32440756488388034,indicative
allenhark-quic-fra,Romania,0,16,0.0,0.0,0.19360768053443655,indicative
allenhark-quic-fra,South Africa,1,4,0.25,0.0455872608097006,0.6993581574175982,suppressed
allenhark-quic-fra,Latvia,0,4,0.0,0.0,0.4898908364545974,suppressed
allenhark-quic-fra,Argentina,0,12,0.0,0.0,0.24249400665524096,indicative
allenhark-quic-fra,Australia,0,4,0.0,0.0,0.4898908364545974,suppressed
allenhark-quic-fra,South Korea,0,8,0.0,0.0,0.32440756488388034,indicative
allenhark-quic-fra,Finland,0,4,0.0,0.0,0.4898908364545974,suppressed
allenhark-quic-ny,Singapore,0,1078,0.0,0.0,0.0035508519195425066,inferential
allenhark-quic-ny,United States,0,4420,0.0,5.421010862427522e-20,0.0008683536370939888,inferential
allenhark-quic-ny,Lithuania,0,1056,0.0,0.0,0.0036245598704626935,inferential
allenhark-quic-ny,Germany,0,5455,0.0,0.0,0.0007037132053884599,inferential
